Gmt time,Open,High,Low,Close,Volume
07.05.2017 21:00:00.000,1559,1681,1557,1658,1872043.9142
08.05.2017 21:00:00.000,1658,1753,1626,1747,1330135.8033999999
09.05.2017 21:00:00.000,1713,1769,1677,1752,1916894.6074
10.05.2017 21:00:00.000,1784,1887,1777,1857,1613520.5117000001
11.05.2017 21:00:00.000,1836,1836,1651,1692,2550427.5139999995
14.05.2017 21:00:00.000,1799,1803,1714,1734,1394409.2102999997
15.05.2017 21:00:00.000,1740,1782,1710,1770,2188241.2186
16.05.2017 21:00:00.000,1770,1856,1746,1817,4243726.7457
17.05.2017 21:00:00.000,1812,1887,1795,1884,2807541.8242
18.05.2017 21:00:00.000,1884,1963,1869,1938,2073463.8787
21.05.2017 21:00:00.000,2022,2299,1999,2151,3312591.576
22.05.2017 21:00:00.000,2152,2272,1990,2217,2575224.7926
23.05.2017 21:00:00.000,2234,2450,2195,2430,2306018.3146
24.05.2017 21:00:00.000,2424,2801,2226,2468,2743501.4952999996
25.05.2017 21:00:00.000,2485,2679,2243,2243,3302266.4871000005
28.05.2017 21:00:00.000,2120,2353,2093,2307,4912147.8195
29.05.2017 21:00:00.000,2313,2370,2211,2252,5176415.1305
30.05.2017 21:00:00.000,2261,2337,2134,2287,4993179.382200001
31.05.2017 21:00:00.000,2287,2490,2280,2411,2756143.5165
01.06.2017 21:00:00.000,2413,2450,2374,2432,3177806.2893999997
04.06.2017 21:00:00.000,2506,2630,2504,2625,1808567.8994
05.06.2017 21:00:00.000,2690,2941,2690,2872,2329195.694
06.06.2017 21:00:00.000,2872,2886,2739,2739,3008709.1750000003
07.06.2017 21:00:00.000,2740,2813,2612,2750,2848844.6270000003
08.06.2017 21:00:00.000,2750,2863,2749,2835,2320309.9937000005
11.06.2017 21:00:00.000,2923,3003,2449,2547,1536865.3029000002
12.06.2017 21:00:00.000,2657,2788,2638,2702,2226143.7303
13.06.2017 21:00:00.000,2703,2819,2523,2553,1413301.2162000001
14.06.2017 21:00:00.000,2553,2559,2077,2363,2589326.3702000002
15.06.2017 21:00:00.000,2362,2526,2304,2488,2670028.0878
18.06.2017 21:00:00.000,2470,2587,2460,2580,2852263.9771999996
19.06.2017 21:00:00.000,2597,2777,2586,2750,2295732.4984
20.06.2017 21:00:00.000,2750,2781,2637,2660,1924513.1014000003
21.06.2017 21:00:00.000,2661,2729,2571,2672,2318081.6982
22.06.2017 21:00:00.000,2672,2736,2664,2708,2294834.4879000005
25.06.2017 21:00:00.000,2473,2561,2256,2356,2290449.7690999997
26.06.2017 21:00:00.000,2349,2470,2269,2458,3053934.5932
27.06.2017 21:00:00.000,2458,2599,2428,2595,2186366.6840000004
28.06.2017 21:00:00.000,2595,2605,2503,2559,2302024.5055000004
29.06.2017 21:00:00.000,2558,2568,2482,2504,1907206.4131000005
02.07.2017 21:00:00.000,2499,2585,2476,2558,1877544.2886
03.07.2017 21:00:00.000,2558,2642,2545,2577,1820193.3098999995
04.07.2017 21:00:00.000,2577,2623,2548,2612,1832799.9991999997
05.07.2017 21:00:00.000,2612,2630,2581,2598,1843939.0984000005
06.07.2017 21:00:00.000,2598,2610,2490,2515,1708144.7944999998
09.07.2017 21:00:00.000,2529,2541,2361,2385,1802442.6955000004
